TokenAddr,TokenSymbol,Wallet,Amount,CumulativeAmount
0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a,249999990000000000000000,249999990000000000000000
0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,0xa3a22aed1d45342c96012c64104bb8b121eca07c,1000000000000000000,250000990000000000000000
0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,0xc7a13c9ceba109499c2c00af977591b55a03e6af,366350000000000000000000000,366600000990000000000000000
0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,CFI,0x3fec3c6e014e28566000a1be3cfcb43327d4b743,209000000000000000000000000,209000000000000000000000000
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0x73f879679b0fd8b25196834fe3e7a9615ea1b608,1000000000000000000000,1000000000000000000000
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0xd0f706bf4738732145344dc407d36b88859c3349,120000000000000000000000,121000000000000000000000
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0xeba90b310b464c20d409de6de7a75735bff63dad,20000000000000000000,121020000000000000000000
0x2e071d2966aa7d8decb1005885ba1977d6038a65,ROL,0xf39fc9bc6b3d39333c3663e89f887a7c6eeb84eb,9999999999999990,9999999999999990
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,FUN,0xe847fb549244df7d1370fff369ed82e2b894d23f,1999998000000,1999998000000
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,FUN,0xe8ebb13902a7ab342163d2a241c1e4891798b56f,7183304055646,9183302055646
0x41e5560054824ea6b0732e656e3ad64e20e94e45,CVC,0xa9b1d13399687fcfab76c9a52ad59cd225134ec6,62224568862299,62224568862299
0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,REP,0xd0f706bf4738732145344dc407d36b88859c3349,5842248855420000000000,5842248855420000000000
0x56ba2ee7890461f463f7be02aac3099f6d5811a8,CAT,0x4013f4f6ec28f84ea9071336466bf8916f179852,330000000000000000000,330000000000000000000
0x607f4c5bb672230e8672085532f7e901544a7375,RLC,0x475f51c7e51e383f70156cf1fa6c21ba0de0ce69,33009396386820,33009396386820
0x607f4c5bb672230e8672085532f7e901544a7375,RLC,0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581,10501280,33009406888100
0x667088b212ce3d06a1b553a7221e1fd19000d9af,WINGS,0xb302c55f7e4a8320640d212537d5d81256bc4a44,51513480000000000000000,51513480000000000000000
0x667088b212ce3d06a1b553a7221e1fd19000d9af,WINGS,0xd0f706bf4738732145344dc407d36b88859c3349,267923840000000000000000,319437320000000000000000
0x6810e776880c02933d47db1b9fc05908e5386b96,GNO,0x637cc72b210546e0af1590fd2c9153501f3d1bfd,12000000000000000000,12000000000000000000
0x6810e776880c02933d47db1b9fc05908e5386b96,GNO,0xde7119dc74161341e2f8b4ed1b73c0ccea1a481f,4177439400000000000,16177439400000000000
0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,EOS,0xd0f706bf4738732145344dc407d36b88859c3349,920383491237753000000000,920383491237753000000000
0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,0x223cc19bf2fcc7219e0518c89a735b99091a57e9,4500505300000000000000,4500505300000000000000
0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,0x539077c6e8a7dbf9fd13c16925a9504e3c6e24b8,13000000000000000000000000,13004500505300000000000000
0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,0x8ae1a1a78c326abc8c7de3e70a8a6bdf9328e0ba,2000000000000000000,13004502505300000000000000
0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,0xfbbe877a949e8eb1db740ebb3ef020b20b9fbbfa,78550342580000000000,13004581055642600000000000
0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,0xffa9477927cf6a7cd2ccd4cb23ca2349520ef872,566909256470000000000,13005147964899000000000000
0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,NDC,0xac558414d058f42665d4eeb66a1934d3f82f5cfd,1000000000000000000,1000000000000000000
0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,NDC,0xd0f706bf4738732145344dc407d36b88859c3349,5000000000000000000,6000000000000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0x475f51c7e51e383f70156cf1fa6c21ba0de0ce69,153759260000000000000000,153759260000000000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0x51ac2051db10b0d05462ef1d7c3f7afd43ed8be7,18982748469600000000000,172742008469600000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0x73f879679b0fd8b25196834fe3e7a9615ea1b608,1890601525423720000000,174632609995024000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0x74b16e67582e66f791ba45c65f70b84c54541e3b,12347870000001000,174632622342894000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0xd0f706bf4738732145344dc407d36b88859c3349,700085714266065000000000,874718336608959000000000
0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,0xffa9477927cf6a7cd2ccd4cb23ca2349520ef872,418045055980000000000,875136381664939000000000
0xaef38fbfbf932d1aef3b808bc8fbd8cd8e1f8bc5,CRB,0xc4623b433a77b870ef7a995c1443fe2e0657992b,11205400000000,11205400000000
0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,1ST,0x637cc72b210546e0af1590fd2c9153501f3d1bfd,92983000000000000000000,92983000000000000000000
0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,1ST,0xd0f706bf4738732145344dc407d36b88859c3349,183035641140000000000000,276018641140000000000000
0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,MCO,0xd12b693156f6bc4c33d73e60424a544bcbe17556,1,1
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,STORJ,0x22dc62c96de482743b231f29326a3d18b2d73eb2,54298200000,54298200000
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,STORJ,0x6bbb55bde42bb38f0fe70f3579c762bd6904813c,198315377,54496515377
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,STORJ,0x8306f9bdec388231265e77225c4e28eb716f6b55,11755910110,66252425487
0xb97048628db6b661d4c2aa833e95dbe1a905b280,PAY,0x40f69798812a1b2498d788a69e7e8edbadb72aad,840000000000000000000000,840000000000000000000000
0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,SWT,0xb68dd3322631244b553fea98040399a4258cf04d,1000000000000000000,1000000000000000000
0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,MLN,0xb12100ad65600ece950a8485e6304211c0a38493,24475916210000000000,24475916210000000000
0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,MLN,0xd0f706bf4738732145344dc407d36b88859c3349,3600000000000000000000,3624475916210000000000
0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,TRST,0x2aab51f6c6dac9c4484e22220bf97dfe1431950a,20808085094,20808085094
0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,TRST,0x475f51c7e51e383f70156cf1fa6c21ba0de0ce69,41687240513,62495325607
0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,TRST,0xd0f706bf4738732145344dc407d36b88859c3349,349420000000,411915325607
0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,DGD,0x475f51c7e51e383f70156cf1fa6c21ba0de0ce69,858320982740,858320982740
0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,DGD,0xd0f706bf4738732145344dc407d36b88859c3349,6007850094570,6866171077310
0xf433089366899d83a9f26a773d59ec7ecf30355e,MTL,0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b,100100000000,100100000000
0xf7b098298f7c69fc14610bf71d5e02c60792894c,GUP,0x475f51c7e51e383f70156cf1fa6c21ba0de0ce69,24883441,24883441
0xf7b098298f7c69fc14610bf71d5e02c60792894c,GUP,0x6a45c0ac25b9e6e4b07d9a37fca6de56766872aa,9600000,34483441